species	correlation	p.value	p.adj	degree_of_relationship
s__Acetatifactor_intestinalis	0.19088873070713	0.00298627915577908	0.0280710240643233	Very weak
s__Acetatifactor_sp900066565	0.145311681262038	0.00587917732780051	0.047824846339608	Very weak
s__Agathobacter_faecis	0.159188228271871	0.00324768502883562	0.0292291652595205	Very weak
s__Agathobacter_rectalis	0.168038342765136	0.000552389300592149	0.00708062648940846	Very weak
s__Alistipes_A_ihumii	-0.286831321873344	5.65355184929392e-07	2.65716936916814e-05	Weak
s__Alistipes_communis	-0.151644363000324	0.00254480107269976	0.0250337407849302	Very weak
s__Alistipes_onderdonkii	0.144642811778227	0.00170541954273598	0.0184972427327518	Very weak
s__Alistipes_shahii	-0.194026984203198	0.000240052298165628	0.0039054662355408	Very weak
s__Anaerotardibacter_sp000436075	0.591897233201581	0.002927362230377	0.0280710240643233	Moderate
s__Anaerotruncus_massiliensis	-0.551446110325218	0.00427159036509332	0.0368751576415199	Moderate
s__Bacteroides_congonensis	0.712027103331451	0.000201630866115858	0.003553744015292	Strong
s__Bacteroides_nordii	0.275607894077776	0.00341407917661169	0.0300865727438905	Weak
s__Bacteroides_ovatus	0.345760896408808	5.54793968828198e-18	7.82259496047759e-16	Weak
s__Barnesiella_intestinihominis	-0.191129178944305	5.35375526936977e-05	0.00123556241004308	Very weak
s__Bilophila_wadsworthia	0.240756836288136	9.46445958145966e-07	4.00346640295744e-05	Weak
s__Blautia_A_massiliensis	0.204844764284255	0.000872042964967796	0.0108492404170993	Weak
s__Blautia_A_wexlerae	0.388265411646915	4.44829012047445e-19	9.40813360480345e-17	Weak
s__Butyricimonas_paravirosa	-0.470414096882081	2.36836154006041e-09	1.43116704492222e-07	Moderate
s__Butyricimonas_virosa	0.281660716814637	0.00146207888947713	0.0162752465854955	Weak
s__CAG-103_sp000432375	0.283984192046432	2.47409753142604e-05	0.000654089534870759	Weak
s__CAG-170_sp900549635	-0.276574520879313	0.00121672823549798	0.0142965567671012	Weak
s__CAG-267_sp001917135	0.555123269006294	1.60299695579827e-05	0.000452045141535111	Moderate
s__Coprococcus_sp000154245	0.546398046398046	0.00319101496043995	0.0292291652595205	Moderate
s__Copromonas_sp900066535	0.308806815669964	5.74159677829585e-05	0.00123556241004308	Weak
s__Dysosmobacter_sp001916835	0.236446484975059	0.000297135302815935	0.00461153126728083	Weak
s__Dysosmobacter_sp900548505	-0.676942561468175	5.51673832341213e-05	0.00123556241004308	Strong
s__ER4_sp000765235	0.168999350696198	0.00197051108498866	0.0208381547237551	Very weak
s__ER4_sp900317525	0.442671667966162	1.19579535997691e-12	1.01164287454046e-10	Moderate
s__Enterocloster_bolteae	0.251496749745293	0.000157789825535852	0.00290196070442024	Weak
s__Faecalibacillus_faecis	0.738961038961039	0.00012996118121126	0.00249879907510742	Strong
s__Faecalibacterium_duncaniae	0.151040918880115	0.00248677012712455	0.0250337407849302	Very weak
s__Faecalibacterium_longum	0.168049229515388	0.000527047620391532	0.00696691073205057	Very weak
s__Faecalibacterium_prausnitzii	0.240764441655382	5.84190264795782e-05	0.00123556241004308	Weak
s__Faecalibacterium_prausnitzii_J	0.333490901943204	1.27891369523154e-05	0.000386414637916388	Weak
s__Faecousia_sp000434635	0.302614621216469	0.000420657741903374	0.00573994273629443	Weak
s__Gemmiger_formicilis	0.202793185019443	0.000213163698112603	0.00360672977206525	Weak
s__Gemmiger_qucibialis	0.222361072821536	1.15203192343041e-06	4.4300863964642e-05	Weak
s__Gordonibacter_urolithinfaciens	0.571146245059289	0.00441927400395486	0.0373870580734581	Moderate
s__Haemophilus_D_parainfluenzae_K	0.580581637787526	0.000960119765101566	0.0116037331610846	Moderate
s__Holdemania_filiformis	0.437040667410586	9.50384240211322e-06	0.000309240410468761	Moderate
s__Lachnospira_eligens_A	0.231593964609628	0.000305255024784546	0.00461153126728083	Weak
s__Lachnospira_sp003451515	0.63436364633384	3.45502652480894e-10	2.4357936999903e-08	Strong
s__Paraprevotella_clara	0.332327977366145	0.00010530689824948	0.00212118180759667	Weak
s__Phocaeicola_dorei	-0.412915602496784	5.76111690623618e-27	2.43695245133791e-24	Moderate
s__Prevotella_sp900551275	0.470767489032501	4.78036181814868e-06	0.000168507754089741	Moderate
s__Roseburia_hominis	-0.446495531209586	2.79373787668674e-17	2.95437780459622e-15	Moderate
s__Ruminiclostridium_E_siraeum	0.193711179504353	0.00474432075843237	0.0393499545258214	Very weak
s__Ruminococcus_E_bromii_B	0.20483747323941	0.000398794133280831	0.00562299727925972	Weak
s__Ruminococcus_E_sp003526955	-0.308640803038524	0.00221708020648375	0.0228737787156738	Weak
s__SFEL01_sp004557245	0.380925382201073	0.000350630147271557	0.00511436387227134	Weak
s__Ventrimonas_sp003478505	0.403331570597567	0.00126833380676263	0.0145001405475836	Moderate
s__Vescimonas_coprocola	0.300487889637261	4.86993658252954e-07	2.57497896801249e-05	Weak
